Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Area,Road,Road Width,Road Type,Amenities,Face
"3.5 Storey House For Sale at Duwakot, Bhaktpur","Duwakot,Changunarayan,Bhaktapur",Bhaktapur,22500000,6,3,3.5,5,3.5 Aana,10 Feet,14 Feet,Paved,"['Electricity Backup','Terrace','Balcony','Parking','Drainage','Internet']",East
"1 Storey House For Sale at Imadol, Lalitpur","Shubhashree Tole, Imadol, Lalitpur",Lalitpur,15500000,2,1,1,9,2.5 Aana,13 Feet,13 Feet,Concrete,"['Electricity Backup','Terrace','Balcony','Parking','Drainage','Internet']",South West
"House For Sale In Dhulikhel, Kavre","Dhulikhel near KU, Dhulikhel, Kavre",Kavre,15200000,6,2,3,2,5 Aana,10 Feet / Gravelled,10 Feet, Gravelled,"['Garage', 'Wifi', 'Drainage', 'Water Well', 'Water Supply', 'Modular Kitchen', 'TV Cable']",
"House For Sale In Pasikot, Kathmandu","Budhanilkantha, Pasikot, Kathmandu",Kathmandu,13800000,4,1,2,3,4 Aana,12 Feet / Soil Stabilized,12 Feet, Soil Stabilized,"['Lawn', 'Backyard', 'Balcony', 'Frontyard', 'Fencing', 'Garden', 'Drainage', 'Water Supply', 'Modular Kitchen', 'Air Condition', 'TV Cable', 'Washing Machine', 'Solar Water', 'Water Tank']",
"House For Sale In Maharajgunj, Kathmandu","Maharajgunj, Maharajgunj, Kathmandu",Kathmandu,80000000,13,8,4.5,6,13 Aana,14 Feet / Gravelled,14 Feet, Gravelled,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Baniyatar, Kathmandu","Baniyatar, Baniyatar, Kathmandu",Kathmandu,16500000,6,3,3,3,3.1 Aana,10 Feet / Blacktopped,10 Feet, Blacktopped,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",
"House For Sale In Tokha, Kathmandu","Grande, Tokha, Kathmandu",Kathmandu,43000000,6,5,3,3,8 Aana,12 Feet / Gravelled,12 Feet, Gravelled,['Garage'],
"Durbarmarg Next To Annapurna Cake Shop : House For Sale In Durbar Marg, Kathmandu","durbarmarg, Durbar Marg, Kathmandu",Kathmandu,250000000,16,10,5,10,4 Aana,20 Feet / Blacktopped,20 Feet, Blacktopped,"['TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Bharatpur, Chitwan","2, Bharatpur, Chitwan",Chitwan,230000200,15,9,5,10,10 Aana,20 Feet / Blacktopped,20 Feet, Blacktopped,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Baluwatar, Kathmandu","Near PM Quarter, Baluwatar, Kathmandu",Kathmandu,33500000,6,4,3,3,5 Aana,20 Feet / Blacktopped,20 Feet, Blacktopped,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",
"House For Sale In Baniyatar, Kathmandu","Baniyatar, Baniyatar, Kathmandu",Kathmandu,32000000,9,4,3,3,5 Aana,10 Feet / Blacktopped,10 Feet, Blacktopped,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Baniyatar, Kathmandu","Baniyatar, Baniyatar, Kathmandu",Kathmandu,195000000,10,7,3,8,4 Aana,16 Feet / Blacktopped,16 Feet, Blacktopped,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",
"House For Sale In Nakkhu, Lalitpur","Nearby of Medicity Hospital, Nakkhu, Lalitpur",Lalitpur,25500000,4,4,2.5,3,4.2 Aana,14 Feet / Gravelled,14 Feet, Gravelled,"['Water Supply', 'Balcony', 'Water Well', 'Fencing', 'TV Cable', 'Wifi', 'Drainage']",
"House For Sale In Imadol, Lalitpur","Near Buddha Party Palace, Imadol, Lalitpur",Lalitpur,16500000,5,3,3,3,3.5 Aana,13 Feet / Blacktopped,13 Feet, Blacktopped,"['Drainage', 'Water Supply']",
"House For Sale In Satungal, Kathmandu","Satungal, Satungal, Kathmandu",Kathmandu,15000000,5,3,2,2,4 Aana,15 Feet / Soil Stabilized,15 Feet, Soil Stabilized,"['Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Kapan, Kathmandu","Aakashaydhara, Kapan, Kathmandu",Kathmandu,15000000,5,4,3,2,3 Aana,13 Feet / Blacktopped,13 Feet, Blacktopped,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Bhaisepati, Lalitpur","Gokul Aawas, Bhaisepati, Lalitpur",Lalitpur,44500000,5,5,3,3,6.5 Aana,16 Feet / Gravelled,16 Feet, Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",
"House For Sale In Hattigauda, Kathmandu","Hattigauda, Hattigauda, Kathmandu",Kathmandu,32000000,5,4,3,3,5 Aana,15 Feet / Gravelled,15 Feet, Gravelled,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Golfutar, Kathmandu","Hepali, Golfutar, Kathmandu",Kathmandu,28500000,5,3,3,3,6 Aana,12 Feet / Gravelled,12 Feet, Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",
"House For Sale In Sitapaila, Kathmandu","Sitapaila, Sitapaila, Kathmandu",Kathmandu,25000000,6,4,3,3,5 Aana,13 Feet / Blacktopped,13 Feet, Blacktopped,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Thankot, Kathmandu","Near by kalikasthan temple, Thankot, Kathmandu",Kathmandu,17500000,5,2,3,2,4 Aana,16 Feet / Blacktopped,16 Feet, Blacktopped,"['Garage', 'Balcony', 'Fencing', 'Garden', 'Drainage', 'Water Supply', 'TV Cable', 'Water Tank']",
"New Ghar Bikarima Kapan Ekatabasti : House For Sale In Budhanilkantha, Kathmandu","Kapan, Budhanilkantha, Kathmandu",Kathmandu,12800000,4,2,2,2,3.2 Aana,12 Feet / Gravelled,12 Feet, Gravelled,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"DeepLila Sadan : House For Sale In Dhapakhel, Lalitpur","Dhapakhel Height, Dhapakhel, Lalitpur",Lalitpur,42000000,6,5,4,5,11 Aana,0 Feet / Blacktopped,0 Feet, Blacktopped,"['Drainage', 'Water Supply']",
"House For Sale In Thulo Bharyang, Kathmandu","Thulobharyang, Thulo Bharyang, Kathmandu",Kathmandu,22700000,5,2,3,3,3.5 Aana,12 Feet / Gravelled,12 Feet, Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Basundhara, Kathmandu","Basundhara, Basundhara, Kathmandu",Kathmandu,19800000,9,5,3,2,3.5 Aana,12 Feet / Gravelled,12 Feet, Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,25000000,6,4,3,3,4.5 Aana,13 Feet / Soil Stabilized,13 Feet, Soil Stabilized,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Chundevi, Kathmandu","Chundevi, Chundevi, Kathmandu",Kathmandu,31000000,8,3,4,3,4 Aana,14 Feet / Gravelled,14 Feet, Gravelled,"['Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",
"House For Sale In Ekantakuna, Lalitpur","Ekantakuna, Ekantakuna, Lalitpur",Lalitpur,27000000,5,3,3,2,5 Aana,22 Feet / Blacktopped,22 Feet, Blacktopped,"['TV Cable', 'Water Supply']",
"House For Sale In Kapan, Kathmandu","Aakashedhara, Kapan, Kathmandu",Kathmandu,20000000,6,3,3,2,4.2 Aana,12 Feet / Gravelled,12 Feet, Gravelled,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Tokha, Kathmandu","Near Veena's Residency, Tokha, Kathmandu",Kathmandu,32500000,5,3,3,3,6 Aana,13 Feet / Gravelled,13 Feet, Gravelled,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Budhanilkantha, Kathmandu","Bagaichaa Colony, Budhanilkantha, Kathmandu",Kathmandu,45000000,7,4,3,3,8 Aana,20 Feet / Gravelled,20 Feet, Gravelled,"['Balcony', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Teku, Kathmandu","Pachali, Bhairav, Teku, Kathmandu",Kathmandu,70000000,9,6,5,5,5 Aana,20 Feet / Blacktopped,20 Feet, Blacktopped,"['Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Jorpati, Kathmandu","Jorpati, Jorpati, Kathmandu",Kathmandu,11400000,5,4,2,2,3 Aana,13 Feet / Gravelled,13 Feet, Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur",Lalitpur,10000000,4,4,2,2,3.2 Aana,10 Feet / Soil Stabilized,10 Feet, Soil Stabilized,"['TV Cable', 'Wifi', 'Water Supply', 'Water Tank']",
"House For Sale In Ram Bazar, Pokhara","Ram Bazar, Ram Bazar, Pokhara",Pokhara,25000000,5,3,2,2,5 Aana,20 Feet / Gravelled,20 Feet, Gravelled,"['Balcony', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"House For Sale Inside Ringroad : House For Sale In Basundhara, Kathmandu","Basundhara, Basundhara, Kathmandu",Kathmandu,19500000,3,3,3,2,6 Aana,12 Feet / Paved,12 Feet, Paved,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank']",
"House For Sale In Kapan, Kathmandu","Simaltar, Kapan, Kathmandu",Kathmandu,17000000,4,3,3,4,3.2 Aana,13 Feet / Blacktopped,13 Feet, Blacktopped,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",
"Sale Of Attractive House And Land : House For Sale In Naikap, Kathmandu","Piple Chautari Tole (Naya Basti), Naikap, Kathmandu",Kathmandu,22500000,6,3,3,3,8 Aana,13 Feet,13 Feet,Blacktopped,"['Parking', 'Balcony', 'Water Well', 'Store Room', 'Frontyard', 'Garden', 'Water Supply', 'Solar Water', 'TV Cable']",
"Brand New Never Used House For Sale At Rose Village Balkot : House For Sale In Balkot, Bhaktapur","Rose Village Balkot, Balkot, Bhaktapur",Bhaktapur,29000000,5,3,2,2,8.5 Aana,20 Feet / Blacktopped,20 Feet, Blacktopped,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Microwave', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet']",
"House On Sale : House For Sale In Naya Bazar, Kathmandu","Nayabazar-16, Naya Bazar, Kathmandu",Kathmandu,31000000,6,4,3,2,9  Aana,6 Meter / Blacktopped,6 Meter, Blacktopped,"['Fencing', 'Modular Kitchen', 'Frontyard', 'Backyard']",
"Flat House On Sale, 500 Meter Far From Main Road. : House For Sale In Budhanilkantha, Kathmandu","pasikot/Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,37500000,5,5,3,2,9 Aana,0 Feet,0 Feet, Paved,"['Parking', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Solar Water', 'Internet', 'Store Room', 'Wifi']",
"House With 4 Ropani, Only Land Cost -Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Muhanpokhari Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,105000000,10,6,4,7,9 Aana,20 Feet,20 Feet, Blacktopped,"['Parking', 'Garage', 'Backyard', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",
"Modern House For Sale -Baluwatar : House For Sale In Baluwatar, Kathmandu","Shree Marga, Baluwatar, Kathmandu",Kathmandu,80000000,7,5,3,4,9 Aana,13 Feet / Gravelled,13 Feet, Gravelled,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank']",
"House For Sale -Nakkhudol Bhaisepati : House For Sale In Nakhundol, Lalitpur","Nakkhudol Bhaisepati, Nakhundol, Lalitpur",Lalitpur,25000000,3,4,2,2,6 Aana,13 Feet / Gravelled,13 Feet, Gravelled,"['Parking', 'Balcony', 'Modular Kitchen', 'Fencing', 'Water Tank', 'Water Supply', 'Drainage']",
"Bungalow : House For Sale In Bhaktapur, Bhaktapur","Gamcha, Bhaktapur, Bhaktapur",Bhaktapur,32500000,4,4,2,4,7 Aana,20 Feet / Paved,20 Feet, Paved,"['Parking', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet', 'Store Room']",
"??????? ???????? ???? ??? ???? : House For Sale In Jorpati, Kathmandu","jorpati makalbari near sano pool, Jorpati, Kathmandu",Kathmandu,21000000,5,3,3,2,5 Aana,12 Feet / Blacktopped,12 Feet, Blacktopped,"['Water Well', 'Solar Water', 'Garage', 'TV Cable', 'Parking', 'Electricity Backup', 'Store Room']",
"Bungalow At Aananda Colony, Aastha Chowk : House For Sale In Bharatpur, Chitwan","Aananda Colony, Bharatpur, Chitwan",Chitwan,16000000,3,4,2,2,4 Aana,6 Meter,6 Meter, Concrete,"['Air Condition', 'Balcony', 'Deck', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Electricity Backup', 'Internet', 'Parking']",
"Attractive House For Sale In Ratnanagar, Chitwan : House For Sale In Ratnanagar, Chitwan","Jerauna, Ratnanagar, Chitwan",Chitwan,10700000,5,2,2,2,6 Aana,16 Feet / Gravelled,16 Feet, Gravelled,"['Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Water Tank', 'Parking']",
"Residential House : House For Sale In Makalbari, Kathmandu","Sundar Tole, Makalbari, Kathmandu",Kathmandu,20000000,7,3,2.5,2,7 Aana,10 Feet / Gravelled,10 Feet, Gravelled,"['Balcony', 'Fencing', 'Frontyard', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",
"3.5 Storey : House For Sale In Sipadol, Bhaktapur","Darjeling Height, Sipadol, Bhaktapur",Bhaktapur,19000000,7,4,3.5,3,6 Aana,20 Feet / Gravelled,20 Feet, Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",
"Fully Furnished New House On Sale At Hepali, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,33500000,5,4,3,2,6 Aana,18 Feet / Blacktopped,18 Feet, Blacktopped,"['Parking', 'Balcony', 'Microwave', 'Drainage', 'Electricity Backup', 'Water Supply', 'Modular Kitchen', 'Fencing', 'Intercom', 'Internet', 'Frontyard', 'TV Cable', 'Garage', 'Garden', 'Washing Machine', 'Water Tank', 'Kids Playground', 'CCTV', 'Wifi']",
"House On Sell @Dhapasi, Near By Grandi International Hospital. : House For Sale In Dhapasi, Kathmandu","Harihar Marg, Dhapasi, Dhapasi, Kathmandu",Kathmandu,40000000,8,4,3,5,7 Aana,12 Feet / Concrete,12 Feet, Concrete,"['Parking', 'Water Supply', 'Solar Water', 'Water Tank', 'Store Room', 'Garden', 'Lawn', 'Balcony', 'TV Cable', 'Internet', 'Wifi', 'Modular Kitchen']",
"One And Half Storied : House For Sale In Imadol, Lalitpur","Nearby Cozy Homes, Imadol, Lalitpur",Lalitpur,12500000,4,3,2,2,5 Aana,20 Feet / Gravelled,20 Feet, Gravelled,"['Lawn', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']",
"Modern Designed : House For Sale In Imadol, Lalitpur","Nearby Cozy Homes, Imadol, Lalitpur",Lalitpur,19500000,5,3,2.5,2,5 Aana,20 Feet / Gravelled,20 Feet, Gravelled,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",
"House For Sale In Imadol, Lalitpur","Sanagaun Height, Imadol, Lalitpur",Lalitpur,22000000,5,3,2.5,3,6 Aana,20 Feet / Gravelled,20 Feet, Gravelled,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Electricity Backup', 'Parking', 'Store Room']",
"House For Sale In Imadol, Lalitpur","Sanagaun Height, Imadol, Lalitpur",Lalitpur,21500000,4,3,2.5,2,5 Aana,20 Feet / Gravelled,20 Feet, Gravelled,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Parking', 'Store Room']",
"Newly Built : House For Sale In Imadol, Lalitpur","Sanagaun height, Imadol, Lalitpur",Lalitpur,19500000,4,3,2.5,2,4 Aana,20 Feet / Gravelled,20 Feet, Gravelled,"['Balcony', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",
"House For Sale In Imadol, Lalitpur","Nearby, Buddha party palace, Imadol, Lalitpur",Lalitpur,19000000,4,3,2.5,3,3 Aana,13 Feet / Gravelled,13 Feet, Gravelled,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Parking', 'Store Room']",
"Brand New House For Sale In Swoyambhu/Swayambhu : House For Sale In Swayambhu, Kathmandu","Swoyambhu, Swayambhu, Kathmandu",Kathmandu,37000000,8,5,3,4,6 Aana,12 Feet / Gravelled,12 Feet, Gravelled,"['Parking', 'Balcony', 'Drainage', 'Garden']",
"Brand New House For Sale In Swoyambhu/Swayambhu Near Bhagwan Pau : House For Sale In Swayambhu, Kathmandu","Swoyambhu, Swayambhu, Kathmandu",Kathmandu,34000000,6,3,3,4,7 Aana,12 Feet / Gravelled,12 Feet, Gravelled,"['Parking', 'Balcony', 'Water Well', 'Water Tank', 'Drainage']",
"Somaney : House For Sale In Imadol, Lalitpur","Imadol, near tempo park, Imadol, Lalitpur",Lalitpur,21000000,4,3,3,3,4 Aana,12 Feet,12 Feet, Blacktopped,"['Parking', 'Balcony', 'Drainage', 'Garage', 'Frontyard', 'TV Cable', 'Wifi', 'Modular Kitchen', 'Water Well', 'Water Tank', 'Internet']",
"House On Sell @Tarkeshwar-09, Manamaiju, Basukinagtole : House For Sale In Manamaiju, Kathmandu","Basukinagtole, Manamaiju, Kathmandu, Manamaiju, Kathmandu",Kathmandu,26000000,8,4,3,4,5 Aana,16 Feet / Gravelled,16 Feet, Gravelled,"['Parking', 'Balcony', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Supply', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet']",
"House Sale In Syuchatar : House For Sale In Syuchatar, Kathmandu","Syuchatar, Syuchatar, Kathmandu",Kathmandu,22000000,5,3,3,3,5 Aana,10 Feet,10 Feet, Blacktopped,"['Parking', 'Balcony', 'Drainage', 'Water Supply']",
"2 And Half Floor House Is On Sale In Imadole : House For Sale In Imadol, Lalitpur","Imadole, Imadol, Lalitpur",Lalitpur,23500000,6,4,3,3,4 Aana,10 Feet,10 Feet, Gravelled,"['Parking', 'Modular Kitchen', 'TV Cable', 'Water Well', 'Water Supply', 'Water Tank', 'Solar Water', 'Drainage']",
"House Sale In Baluwatar : House For Sale In Baluwatar, Kathmandu","Baluwatar, Baluwatar, Kathmandu",Kathmandu,90000000,8,5,4,5,8 Aana,20 Feet,20 Feet, Blacktopped,"['Parking', 'Balcony', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Electricity Backup']",
"House For Sale In Kalanki, Kathmandu","Nearby L.R.I School., Kalanki, Kathmandu",Kathmandu,17000000,4,3,2.5,3,5 Aana,10 Feet / Blacktopped,10 Feet, Blacktopped,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",
"1.5 Storied House : House For Sale In Imadol, Lalitpur","Opposite of Green hill city, Imadol, Lalitpur",Lalitpur,12500000,2,1,1.5,2,5 Aana,13 Feet / Gravelled,13 Feet, Gravelled,"['TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Internet', 'Parking']",
"House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,45000000,4,4,3,4,11 Aana,22 Feet,22 Feet, Gravelled,"['Garage', 'Balcony', 'Garden', 'Water Supply', 'TV Cable', 'Lawn', 'Frontyard', 'Modular Kitchen', 'Backyard', 'Deck', 'Drainage', 'Wifi', 'Fencing']",
"1.5 Storey House : House For Sale In Tikathali, Lalitpur","Nearby Pawan Pakriti School., Tikathali, Lalitpur",Lalitpur,12500000,2,1,1.5,2,4 Aana,13 Feet / Gravelled,13 Feet, Gravelled,"['Drainage', 'Water Supply', 'Parking']",
"Residential : House For Sale In Imadol, Lalitpur","Ochu Height, Imadol, Lalitpur",Lalitpur,19000000,4,3,2.5,2,4 Aana,13 Feet / Gravelled,13 Feet, Gravelled,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",
"Brand New Apartment For Sale At Janta Awash Bhaisepati : Flat For Sale In Bhaisepati, Lalitpur","Janta Awash Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,16500000,3,2,5,2,4 Aana,40 Feet / Blacktopped,40 Feet, Blacktopped,"['Parking', 'Air Condition', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Water Supply', 'Water Tank', 'Kids Playground', 'Internet', 'Intercom', 'Electricity Backup']",
"House For Sale In Samakhusi Inside Ring Road In High End Colony : Flat For Sale In Samakhusi, Kathmandu","Samakhusi Inside Ring Road, Samakhusi, Kathmandu",Kathmandu,24500000,5,3,2,3,6 Aana,16 Feet / Gravelled,16 Feet, Gravelled,"['Parking', 'Balcony', 'Drainage', 'Electricity Backup', 'Water Supply', 'Modular Kitchen', 'Fencing', 'Intercom', 'Internet', 'Frontyard', 'Garage', 'Air Condition', 'Garden', 'Water Tank', 'Kids Playground', 'Backyard', 'Wifi', 'CCTV']",
"House On Sell @Tarkeshwar-09, Manamaiju, Basukinagtole : Flat For Sale In Manamaiju, Kathmandu","Basukinagtole, Manamaiju, Kathmandu, Manamaiju, Kathmandu",Kathmandu,17000000,5,3,3,1,4 Aana,14 Feet,14 Feet, Gravelled,"['Parking', 'Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank', 'Solar Water', 'Internet', 'Store Room']",
"Apartment For Sale In Jhamsikhel, Lalitpur","Jhamsikhel, Jhamsikhel, Lalitpur",Lalitpur,11900000,3,1,2,2,4 Aana,30 Feet,30 Feet, Blacktopped,"['Air Condition', 'TV Cable', 'Swimming Pool']",
"Godawari_Badikhel Pitched Road Touching House For Sell_ 5 Anna Land : House For Sale In Godawari, Lalitpur","Badikhel (Godawari), Godawari, Lalitpur",Lalitpur,12500000,3,1,2,2,5 Aana,16 Feet / Blacktopped,16 Feet, Blacktopped,"['Parking', 'Water Well', 'Water Tank', 'Backyard']",
"House For Sale In Imadol, Lalitpur","Bojepokhari, Panii Tyanki, Imadol, Lalitpur",Lalitpur,22000000,5,3,2.5,1,6 Aana,10 Feet / Gravelled,10 Feet, Gravelled,"['Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']",
"1.5 Storey House : House For Sale In Tikathali, Lalitpur","nearby Panityanki, Tikathali, Lalitpur",Lalitpur,11000000,2,1,1.5,2,3 Aana,13 Feet / Gravelled,13 Feet, Gravelled,"['Fencing', 'Drainage', 'Water Supply', 'Parking']",
"1.5 Storey House : House For Sale In Imadol, Lalitpur","Nearby Buddha party palace, Imadol, Lalitpur",Lalitpur,13000000,4,2,1.5,2,3 Aana,13 Feet / Gravelled,13 Feet, Gravelled,"['Drainage', 'Water Supply', 'Water Tank', 'Parking']",
"Commercial House Sale At Satungal Near By APF Hospital ,?? ?? ?????? ??? ??????? ???? ?????? : House For Sale In Satungal, Kathmandu","satungal,kathmandu, Satungal, Kathmandu",Kathmandu,42500000,10,6,4,5,7 Aana,29 Feet,29 Feet, Gravelled,"['TV Cable', 'Drainage', 'Balcony', 'Water Supply', 'Electricity Backup']",
"House Sale At Pokhara Buspark, Chitwan : House For Sale In Bharatpur, Chitwan","Naranghat, Bharatpur, Chitwan",Chitwan,10500000,4,2,3,2,4 Aana,13 Feet / Blacktopped,13 Feet, Blacktopped,"['Water Supply', 'Drainage', 'Water Tank']",
"New Residental House For Sale Near Grande Hospital : House For Sale In Tokha, Kathmandu","tokha road , saraswoti 3, Tokha, Kathmandu",Kathmandu,30000000,6,5,3,2,5 Aana,14 Feet / Gravelled,14 Feet, Gravelled,"['Parking', 'Water Tank', 'Solar Water', 'Water Supply', 'Drainage', 'Balcony']",
"Banglow For Sale : House For Sale In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,31500000,6,4,3,4,4.3 Aana,12 Feet / Paved,12 Feet, Paved,"['Garage', 'Garden', 'Balcony', 'Solar Water', 'Water Supply', 'Store Room', 'Electricity Backup']",
"House For Sale : House For Sale In Harisiddhi, Lalitpur","Harisiddhi, Harisiddhi, Lalitpur",Lalitpur,18000000,3,3,3,2,3 Aana,18 Feet,18 Feet, Paved,"['Parking', 'TV Cable', 'Water Tank', 'Deck', 'Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply']",
"Fabulous Bungalow , Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,57500000,4,5,3,4,8 Aana,20 Feet / Paved,20 Feet, Paved,"['Parking', 'Garage', 'Balcony', 'Garden', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank', 'Security Staff', 'Maintenance']",
"House For Sale At Lampokhari, Chabahil Main Road : House For Sale In Chabahil, Kathmandu","Lampokhari, Chabahil Main Road., Chabahil, Kathmandu",Kathmandu,30000000,6,3,3,4,8 Aana,25 Feet / Blacktopped,25 Feet, Blacktopped,"['Parking', 'Balcony', 'Electricity Backup', 'Water Supply', 'Lawn', 'Fencing', 'Intercom', 'Internet', 'Water Well', 'TV Cable', 'Frontyard', 'Water Tank', 'Backyard']",
"House For Sale At Ganeshthan, Chabahil Beside Raprapa Party Office : House For Sale In Chabahil, Kathmandu","Ganeshthan, Chabahil Beside Raprapa Party Office., Chabahil, Kathmandu",Kathmandu,60000000,8,5,4,5,9 Aana,15 Feet / Blacktopped,15 Feet, Blacktopped,"['Parking', 'Balcony', 'Drainage', 'Deck', 'Water Supply', 'Electricity Backup', 'Intercom', 'Solar Water', 'Lawn', 'Fencing', 'Garage', 'Frontyard', 'Internet', 'Kids Playground', 'Water Tank', 'Garden', 'Backyard', 'Wifi']",
